,Cover_Type
153688,1
392172,2
542719,6
483218,1
265062,2
132111,1
166518,0
153604,1
191363,0
151368,1
383654,1
270848,0
331353,1
187623,1
320513,1
137384,1
64233,1
270270,5
16652,0
290362,0
209728,0
569321,1
221774,2
538504,1
531415,0
482740,0
361843,6
134352,0
336888,0
290934,1
564177,1
335759,0
432731,4
472152,0
371922,6
562747,1
66146,0
80833,0
59695,0
183802,1
494832,0
282930,2
311870,1
456645,0
124225,1
254239,2
551600,0
122830,1
488762,1
355994,4
303640,1
568924,1
403110,0
578753,2
549856,1
81488,0
326196,1
398998,1
484427,0
33045,0
554198,0
66689,1
86447,1
79998,1
439540,0
449600,0
507557,0
66232,0
299600,1
558942,1
248180,5
192729,0
557453,1
153337,1
112285,4
420476,0
494448,0
279570,2
57631,0
134746,1
24188,1
71237,1
434837,0
140268,1
180010,0
428340,1
576858,2
50891,1
280083,5
566147,5
92697,1
295294,1
132196,1
209930,1
406857,1
579659,5
126764,1
197918,1
231665,0
493429,0
523279,0
93497,1
529571,0
370716,1
346650,1
62717,1
477465,0
478335,1
573967,5
103896,1
353756,0
449427,0
55498,1
309338,0
7100,4
191752,0
101732,0
14925,2
1185,4
429958,0
301106,0
284773,5
455116,0
194425,0
278771,1
479344,1
78293,0
519709,0
580653,2
47284,1
61642,1
318882,0
81055,1
545790,1
477743,1
11497,0
336512,1
224353,1
14817,6
522658,1
267473,1
341266,1
365858,0
420316,1
154974,1
156276,0
281858,2
280052,2
375063,4
453068,0
529164,1
32132,1
150484,1
445816,0
399922,1
57570,0
411000,1
488545,0
269786,0
294309,1
294549,5
181396,0
360746,0
176125,1
478569,0
284649,2
543953,1
259598,2
470199,0
245230,1
492916,0
446972,1
385786,0
152282,1
21383,1
313462,1
277484,0
462576,6
524850,0
394981,0
235565,0
123273,1
517055,0
353616,2
220307,0
269156,2
289980,0
72092,1
580915,2
269209,2
345869,4
468329,0
193542,1
230084,1
292722,2
540634,1
151520,0
463521,0
464337,0
528878,0
196630,0
308026,1
61555,1
223210,1
316800,0
319765,1
345060,0
29394,0
534706,0
506135,0
404407,0
54627,0
209444,0
470164,1
439477,1
225057,1
230550,5
351359,0
162612,1
84583,1
411085,1
126186,0
421207,0
321915,1
419378,0
309753,0
331407,0
379924,0
216451,6
15786,1
574679,2
373292,2
542778,1
302763,2
136383,1
557621,1
555215,1
524084,1
386864,1
277732,2
484382,0
363689,1
541466,0
463932,1
447181,0
214522,0
212477,6
243341,1
564195,1
570576,1
355785,0
69492,1
17792,1
153299,1
409729,5
90974,1
248502,1
167351,0
238939,1
230232,0
116883,1
61947,0
95172,1
358675,0
471806,1
332118,1
315841,0
276480,1
391378,1
376115,6
232485,5
72262,1
317372,2
330791,0
330806,0
381451,6
287960,1
462014,0
108520,1
273627,4
532101,0
330045,0
255552,2
209228,0
469682,0
137316,1
455400,1
237226,1
309573,1
503323,0
201475,0
458055,0
96376,0
384180,1
475210,1
238865,0
503801,1
295161,0
134433,1
479371,0
305497,1
187559,0
194370,1
209823,0
166866,1
73600,1
394566,1
350765,0
131320,1
491905,0
106170,1
186976,1
464690,0
241730,4
216274,1
218779,1
114277,1
124987,1
193329,0
167191,0
7564,2
117546,1
494076,0
20460,0
99081,1
312150,0
130000,0
423263,0
348173,1
78226,1
468963,0
199636,1
34364,1
225048,1
14429,6
455783,0
424795,1
307371,1
142664,1
21203,1
483582,1
486871,1
256471,1
11104,2
270271,5
325712,1
221657,1
118287,1
443051,0
84131,1
23327,1
484773,0
58388,0
182237,1
317215,0
355845,6
168543,1
222320,1
489130,1
68960,1
133563,1
536806,0
463301,0
45369,1
398152,2
319963,1
258286,1
121323,0
40290,1
15837,1
101308,1
47648,1
429067,0
304811,0
469851,1
98047,1
238607,1
280311,6
567451,1
432859,0
430928,0
363694,1
504948,0
116086,1
369209,0
245708,1
273062,4
431331,0
383041,1
165101,1
361676,0
249669,1
21031,1
174851,0
57815,0
269879,0
313124,0
279502,2
344285,1
282304,0
123930,1
5156,3
462669,0
170910,1
457443,1
537437,0
170081,0
119930,1
92292,1
77156,0
388581,0
412651,1
46315,0
530660,0
258330,0
468445,1
444261,0
35983,1
169349,1
323601,0
340398,0
228206,2
262570,1
169621,1
490258,0
563753,0
335692,0
72583,0
465441,1
61526,1
227031,1
534606,0
519565,0
520146,0
485474,1
193939,0
145022,1
165861,1
301717,1
209185,0
361296,0
74660,1
353028,2
206084,0
202494,0
444357,0
204102,0
362351,0
38297,1
273179,2
287214,0
513538,0
307937,0
514715,0
316065,1
467893,1
431690,0
453089,6
383398,6
277760,5
509412,0
414126,0
492907,1
556368,1
156381,1
305310,0
314530,1
173243,0
468631,0
554797,0
346688,1
440342,1
294506,2
495941,0
36959,0
387741,0
521072,0
95982,1
71263,1
472431,1
9655,6
385806,1
376265,1
141725,1
147166,1
345825,1
352333,0
452026,0
360612,1
46004,1
114311,1
303392,0
415434,0
530015,0
426842,4
272507,1
356302,1
86593,1
376719,6
135576,1
125269,1
512001,1
452852,0
269865,1
546146,0
302714,2
508235,0
474259,1
297878,0
189292,0
307013,0
505763,0
267575,1
297417,6
373814,1
1340,0
364167,6
216449,6
435336,1
461475,0
79812,0
267896,1
24862,1
546414,0
239833,1
21504,1
295288,1
226090,1
540079,1
293200,2
63556,0
119525,1
228348,1
59149,0
31176,1
406904,1
513615,0
275491,2
526953,0
305007,1
130072,1
468065,6
402074,0
303049,1
509468,1
528669,1
546024,0
377436,6
342385,0
500878,0
293599,2
343007,1
349871,4
440954,1
249659,1
530952,1
249337,2
79136,0
331514,0
240260,0
381170,0
199036,0
494001,1
54953,0
47860,1
571136,1
560711,1
319283,1
41580,1
391952,0
297059,1
495189,1
378729,6
120372,1
476455,6
126821,1
209162,0
371888,1
373617,6
408267,4
305066,1
349220,1
275230,1
456586,6
435298,0
512914,0
543301,6
205397,0
467922,0
97577,1
121530,1
516630,1
417712,0
45741,1
219525,1
431203,0
164776,0
36210,0
386406,2
495208,1
434934,0
369766,1
478603,1
553069,0
425207,1
76708,0
155220,1
88180,1
352327,1
519599,0
297718,2
492284,0
91178,0
524256,0
170462,1
189981,0
248521,0
30572,1
377300,1
77262,0
117122,1
205905,0
168529,1
205606,0
398168,2
186721,1
305194,5
7053,2
38923,0
497003,0
383805,0
115756,1
73143,1
68545,1
352444,5
477424,1
116560,1
387287,1
499378,0
10108,1
167735,0
459045,6
42513,1
71473,1
412881,0
492312,0
239339,0
506664,0
37405,0
96626,1
135805,1
338749,1
74431,1
110212,1
194719,0
440499,0
442489,0
222411,1
568860,1
228036,1
108920,0
48388,1
168950,0
425501,0
58947,1
448889,1
261987,1
127561,0
222855,1
10344,0
333638,0
269630,2
567167,1
269832,0
329665,2
303497,0
480182,0
339074,1
368120,1
322032,1
489834,0
29773,1
129211,1
140736,1
183388,1
42571,1
305,0
399510,2
369348,1
477810,1
562279,1
109742,0
280129,2
182587,0
366350,1
416355,1
183025,1
61811,1
45727,1
45035,1
470275,0
412068,0
364022,0
143450,1
8786,4
401754,1
285799,2
253280,0
259482,2
217215,0
440321,1
41895,1
111771,1
224307,1
131873,1
372775,5
426847,2
144435,1
98164,1
173412,1
204631,0
44471,1
355140,1
452881,0
324086,2
300143,5
386792,0
133842,1
101494,1
337304,0
180658,0
455013,0
405081,0
149597,1
340469,1
529380,0
392083,1
108640,1
332262,1
329302,0
71101,1
303899,0
54170,1
148666,1
450376,0
394079,1
424864,0
219336,0
512295,1
289213,2
268936,1
380107,6
484383,0
210430,0
57823,0
563615,0
111156,1
554857,1
25694,1
551159,1
177689,1
556440,1
432929,0
282976,2
247312,1
531818,1
220966,1
95979,1
127045,0
292643,5
116580,1
314138,1
406519,0
439941,0
272843,0
39776,1
344939,0
130198,1
561528,0
229578,1
56992,1
188890,0
563917,1
579832,5
73574,1
11748,4
372483,6
490908,0
573334,2
492693,0
45784,1
545848,0
115001,1
356711,2
340128,4
268266,5
347181,0
213466,1
170727,1
66929,1
175724,1
87301,1
66107,1
499375,0
209889,1
520006,0
403817,0
554735,0
103846,1
18177,4
486408,0
81614,1
35153,1
564071,1
335312,1
498060,1
188209,1
551752,1
515801,0
303151,1
138467,1
243277,1
428373,0
423322,0
385785,0
364201,6
204048,0
315425,2
420676,1
466646,0
123758,0
235738,0
18455,1
456792,1
307160,5
405143,0
493115,0
144945,1
140793,1
47575,0
345392,0
239697,2
481394,1
22652,1
482059,0
350666,0
283843,1
266835,2
531724,1
572772,2
490235,0
447489,1
213846,1
359939,1
16125,1
372769,2
315099,1
37852,1
152420,0
304767,5
26761,1
288502,0
102134,4
480643,0
334050,0
296391,5
44621,1
480342,1
548542,1
470685,1
442586,1
346722,0
56032,1
316611,1
47849,1
107274,0
163118,1
486475,1
214805,1
91136,1
201844,0
416500,1
434393,0
74450,1
318698,1
7615,5
322718,1
369788,1
174748,0
354240,4
142065,1
165519,0
423412,1
360979,2
239205,5
256120,2
548641,0
47765,1
474072,0
404659,0
59928,0
443036,0
14898,1
524496,1
521331,1
89347,1
376704,0
111544,1
278945,2
76239,1
191417,1
298572,5
282588,5
523568,1
211995,1
226883,1
414654,0
296128,0
125039,1
432420,1
547331,1
408726,0
352282,0
530135,1
571802,1
126367,1
398349,1
472447,1
352953,0
349333,1
337494,1
65926,1
46992,1
75024,1
46706,0
319597,1
480940,6
96448,1
433976,0
155774,0
44864,1
549775,1
45477,1
479155,0
413051,0
554844,1
1201,4
503023,0
56919,0
39350,0
511711,0
566677,1
316286,0
13357,5
487507,0
505937,0
51528,0
414955,0
145032,0
541061,6
66957,1
517748,0
493027,0
339571,0
161028,0
156520,0
120656,1
312392,1
250284,0
80661,1
73515,1
459171,0
198691,0
539416,0
409924,0
163001,1
53826,1
81214,0
412266,0
40016,1
143842,0
417833,4
516721,0
501701,0
562345,0
562329,0
137639,1
259879,1
525421,0
80418,1
18761,0
330718,0
132834,1
470378,6
394753,5
352525,0
87882,1
25729,1
139962,1
347797,1
49547,1
285633,1
557357,1
442494,0
549264,0
19615,1
255408,0
129874,1
145393,1
3202,3
204837,1
414264,0
553036,1
145613,0
46106,1
159036,1
72418,1
392896,0
184372,1
79033,1
456351,0
226661,1
178669,0
572791,2
61293,0
394976,1
466730,0
17434,0
350864,0
417500,0
96713,1
523304,0
538836,1
511919,0
521558,6
287746,6
67881,1
124816,1
531625,6
308763,0
46984,1
199937,1
331656,4
447896,1
163661,0
101017,1
580747,2
157027,0
183293,1
546790,1
9288,6
431911,0
34968,1
11278,2
373896,2
45361,1
318605,1
84553,1
152337,1
327023,0
207428,0
485558,6
368920,2
491095,0
318226,1
150318,0
218498,1
464401,1
453830,0
172927,1
220773,1
310283,0
343647,1
521013,0
366581,1
259198,1
266909,0
371211,4
285765,2
144312,1
232950,1
371686,6
505889,0
327131,1
175185,1
374419,1
103585,1
458839,0
27791,0
244393,1
125778,1
453895,0
79350,1
91780,1
355590,0
347430,0
136289,1
478355,0
81154,1
34514,1
498357,1
41842,1
268830,0
344324,1
50459,1
549689,0
557077,1
205007,0
16519,1
308230,0
496054,0
267905,1
466550,0
293762,0
167393,1
545194,0
487251,1
494863,0
268068,1
169427,1
461083,0
262454,0
256153,2
102778,1
473945,0
476381,1
195436,0
271171,2
428119,6
488242,1
343604,1
296537,0
200440,0
447706,6
130271,1
348375,1
185136,1
358294,6
540164,0
97347,1
117719,1
523830,1
544758,0
337122,0
281528,0
464779,0
531891,0
182506,1
461068,0
530344,0
175424,1
67675,1
126595,1
180014,0
73062,1
432791,1
385731,4
13024,2
226203,1
82115,1
84035,1
553614,0
351385,1
499115,0
158439,1
423826,0
180172,1
303702,1
216745,6
319522,0
366504,1
196056,0
44715,0
555380,0
471375,1
68300,1
101027,1
514245,0
80412,1
405295,1
400610,0
490050,1
229720,0
48279,0
266271,2
146026,0
168093,1
100438,1
51561,0
402910,2
143763,1
143477,1
63221,0
330009,0
128984,1
88146,1
515823,0
152052,1
459182,0
324246,0
18542,0
130888,1
269938,1
467203,0
30761,1
57959,1
467973,0
18095,0
564382,1
377832,0
184378,1
7059,6
304225,5
157978,0
58188,1
371353,6
39649,1
327756,1
254215,1
91153,0
142629,1
562632,5
142458,1
334218,1
434834,0
331811,1
15439,1
528898,0
77027,1
261455,0
379246,0
134443,1
67125,0
46644,1
62623,1
138443,1
194993,1
221862,0
405364,0
218883,1
362349,0
311777,1
579331,2
354542,0
503244,0
192517,0
290519,0
561450,1
422497,1
180511,0
367459,1
73645,1
64341,0
65360,1
357017,0
165258,0
139821,0
426450,0
111222,1
52445,1
290201,2
230901,1
70867,1
201218,0
206779,0
382735,6
31339,1
259583,2
16938,1
328247,2
53467,1
250863,4
41107,1
207381,1
105708,1
378557,0
135988,1
347187,0
440901,1
275274,0
284956,0
181510,1
475341,1
67006,1
26957,1
148275,0
563302,1
446255,0
470269,0
315734,1
95588,1
576592,2
199494,0
439229,0
396158,0
496421,1
383030,1
282060,0
186480,0
146809,1
350607,2
88242,1
580354,5
146419,1
22904,0
476431,0
86065,1
493077,0
440753,0
473252,1
539758,0
337364,1
333019,0
422869,1
110966,0
178271,0
176566,1
425447,0
217858,6
83130,1
444311,0
92551,1
366491,1
254422,2
136200,1
82914,1
343942,1
47019,1
246386,1
352524,0
147647,0
161751,0
527178,0
358387,1
113115,1
358943,0
416787,0
481758,0
444447,1
482586,1
508442,0
229125,1
410590,0
521010,0
445637,1
457070,6
148259,0
564497,1
148989,1
21942,0
286431,3
513127,0
352707,0
543325,1
480539,1
318597,1
485477,1
309252,0
184384,0
25347,1
137348,1
16482,0
497981,6
157933,1
408390,1
516175,0
268476,1
252890,1
376785,0
177511,1
421023,0
488098,1
318100,0
25224,1
570891,2
231464,1
352061,1
439436,1
170950,1
113828,1
528325,0
263273,3
117795,1
392930,0
106897,0
489705,0
125735,1
300915,5
148435,1
186982,1
438299,0
307167,5
437417,1
263177,2
200211,1
124098,0
399160,0
395003,0
461572,6
69566,1
191498,0
57964,1
76938,0
101136,0
81937,1
173438,1
91620,1
67759,1
318307,1
213792,4
298221,2
505432,1
335262,1
404816,1
250937,1
40049,0
373821,4
525817,1
2469,4
97196,0
60340,1
191250,0
277219,2
580191,2
460749,6
338025,1
12072,0
268187,3
84999,1
493924,0
562269,1
295233,1
88697,1
33942,1
100681,1
376403,1
488845,6
552089,1
116327,1
80980,1
433151,0
567456,1
381576,1
156047,0
360939,1
291502,1
13056,3
567271,5
271355,0
507500,0
172393,4
159124,1
574692,2
251080,1
303488,1
574366,2
369961,4
490735,0
13914,6
183517,0
168846,1
329462,1
252116,1
472635,0
475699,1
424171,1
325841,6
415121,1
315316,1
82233,1
110502,1
45864,1
235412,1
101286,1
359579,1
30732,0
228332,1
181266,1
69214,1
496465,1
365509,1
452249,1
243214,1
338539,0
24527,0
275351,1
45065,1
430315,0
270160,2
442678,1
468273,1
116760,0
535879,0
119717,1
435279,0
105208,1
211881,6
195608,1
504458,1
184708,0
44,1
502289,1
26690,1
328721,0
271025,4
53629,0
54132,0
373683,1
154787,0
85730,1
10379,6
469188,1
292434,1
67914,1
275464,2
40856,0
458820,0
52544,1
183395,0
235983,0
351342,0
25469,1
173912,1
126549,1
161166,1
402441,0
60386,1
508979,0
1882,2
138261,1
542146,0
368179,1
103659,1
205103,1
177182,0
243948,5
300244,0
303003,1
303164,1
8630,0
89755,0
293141,5
129347,1
133929,1
213365,0
268110,2
59482,1
157624,1
417227,1
57012,1
36175,0
459139,6
468217,1
123848,1
136168,1
103336,1
540214,0
574520,2
213427,6
457338,1
208373,0
329218,1
344532,1
103797,1
72518,0
473898,1
46609,1
827,1
33062,0
356570,1
313399,1
504476,0
260135,2
532347,0
222200,0
173627,0
524456,1
461426,1
367099,1
540118,1
525108,0
98439,1
120937,1
340421,1
124434,1
449594,0
25823,1
187713,0
340157,2
6841,1
254012,1
253840,6
775,0
399929,0
241885,1
102033,1
301482,0
552985,0
53069,0
94602,1
21672,1
522963,0
274214,1
417768,1
355507,2
459180,0
203209,1
398323,0
43320,1
197387,1
299550,1
500532,0
351286,0
36887,1
345271,4
124926,1
175960,1
227667,1
166156,1
93388,1
439105,0
334331,0
399617,0
550835,0
49553,1
232544,0
232062,0
405943,0
489421,1
73058,1
198873,1
312615,0
76945,1
580211,5
277370,5
452053,0
480502,0
199089,1
379093,5
336844,0
28416,1
50682,1
33492,0
370285,0
389892,0
99779,1
221777,2
54107,1
399548,2
117878,0
288785,2
405497,1
338443,1
509992,1
336213,0
414288,0
113331,1
476344,1
37865,0
406224,1
212000,1
15865,1
90743,1
523059,1
556371,1
229857,1
483008,1
569184,2
402562,0
405406,0
288431,1
469637,1
508794,1
551057,0
535826,1
426309,1
252962,1
367425,1
96669,1
269759,2
255044,0
474961,1
571349,1
194318,0
427763,1
506036,1
247927,1
324963,0
549003,0
341704,1
233205,1
233697,1
501498,0
287065,2
148914,0
548284,1
52889,1
45883,1
480886,1
436932,0
75759,1
122800,0
552665,1
96776,1
539870,1
230179,6
548723,1
544464,1
446457,0
381524,0
369433,2
564637,0
326670,1
177857,1
445671,1
395545,0
94805,0
157173,1
485289,1
472997,1
322669,1
316829,0
133604,1
280114,2
111391,1
17642,0
228994,1
236190,1
338416,1
537490,0
519368,1
388444,1
227752,6
187616,0
352459,2
379550,1
1474,4
313889,1
239967,1
210910,0
212252,1
293652,5
190000,1
402194,1
401524,2
206626,0
440665,1
215054,1
296404,2
472665,1
41335,1
130211,1
349461,0
59399,0
303708,5
295965,5
125903,1
12966,3
299513,1
259525,2
508197,0
578910,2
230565,1
453157,0
580502,2
114758,0
10000,6
38709,1
81121,0
515739,0
473987,1
156988,0
79162,1
114662,1
266959,1
5846,5
549541,0
521801,0
26346,1
445921,0
431242,1
314499,1
352324,1
570260,1
279364,1
222614,0
357878,1
535382,0
549398,0
423586,1
512751,0
68048,1
404059,0
30998,1
54303,0
41630,0
195909,1
40267,1
293034,2
323123,1
241481,1
306020,1
466419,0
291554,1
144437,1
349748,0
233154,1
454677,0
69775,1
388678,6
486209,6
388729,0
385032,1
43106,1
79095,1
164279,1
434600,1
579554,2
241374,1
97303,1
136410,1
138178,1
338304,0
300828,1
390651,0
20458,1
222189,0
81130,1
428543,0
56780,1
258203,1
144077,1
214264,0
327342,1
488660,1
308967,0
100980,1
133040,1
450610,6
407389,1
422502,1
561670,0
5812,5
71470,1
286926,2
371005,1
241058,5
565378,1
282960,2
409557,0
503401,0
312369,1
411515,0
435248,0
482813,0
72223,0
190546,1
195418,0
481261,1
397844,0
36811,1
296907,5
560259,0
456997,6
124693,1
388396,0
326920,2
432779,0
455352,1
482405,1
412842,0
36026,1
434625,1
89399,1
73286,1
456287,1
115737,1
110377,1
344577,1
377000,1
154424,1
260360,1
438711,0
268667,2
65948,0
268570,1
60463,0
402863,1
353975,0
24882,1
434891,0
384321,1
213426,6
137947,4
115547,1
109137,1
25367,1
457532,0
29730,1
59598,0
551824,0
509707,0
241396,1
451579,6
434477,0
354317,6
106986,1
417606,1
298830,1
545238,0
224026,0
353052,2
479027,6
97179,1
53578,1
309958,0
472363,1
313246,1
60496,0
180423,1
114044,1
247454,1
38992,1
333010,1
500166,1
79257,1
383391,6
478233,1
223624,1
436,4
18867,1
268292,0
321302,1
484234,1
395636,0
86900,1
420983,0
45486,0
147298,0
454540,0
499275,0
157855,1
508889,0
281267,2
136459,0
554209,1
236921,5
189087,1
568117,5
466261,0
541073,1
80671,1
354178,1
123123,1
546910,0
131454,0
524971,1
560921,1
425498,0
333749,1
532456,6
199750,0
214252,0
159415,0
60815,0
485621,1
253518,1
568707,1
357016,0
137502,1
357849,4
216721,6
304911,0
213733,6
513844,0
329906,1
8489,4
165253,0
326167,2
562352,0
428668,0
377610,1
6227,2
397534,0
9096,6
67069,1
250391,1
206258,0
183888,1
224419,0
327961,0
472542,6
538293,0
436077,1
46466,1
200198,1
248230,2
296315,5
238800,5
208659,0
288377,0
458358,0
88965,1
428514,0
65642,1
372369,1
315008,0
526219,0
441468,0
231788,1
147798,1
564962,0
337585,0
333866,1
288854,5
531827,0
126116,1
558284,1
19993,0
261382,0
312463,5
234867,1
292127,2
175617,1
450514,0
393858,0
402881,2
524786,0
152245,0
351273,0
150892,0
268500,1
506252,0
99959,1
36480,1
80014,1
389837,0
42951,0
38946,0
449076,0
115015,1
536679,0
218810,1
483448,0
252990,1
79305,1
317465,0
96874,1
50265,1
506230,1
268278,5
402653,0
224913,0
537196,0
472489,0
371841,1
565242,1
81726,1
110233,1
508247,0
467564,6
423281,0
223866,1
444051,1
279053,5
358521,1
155735,1
126373,1
232469,1
234845,1
217225,0
227650,5
210167,1
166817,1
158850,1
9276,6
450400,0
362219,0
146369,0
178198,0
88582,0
423118,0
432561,0
60150,1
352093,0
34979,1
459617,0
406726,1
213442,1
138749,1
397337,4
360014,1
287410,1
175920,0
121870,1
536199,0
219310,0
131769,1
162934,0
199747,0
409828,0
472098,6
26617,1
546456,1
244331,1
17903,1
433416,0
37877,1
73442,0
32659,0
526364,1
27139,1
353330,0
13273,0
120769,1
467731,0
543351,0
27195,1
322870,0
492355,0
143832,1
365484,1
139672,0
90369,0
97167,1
219890,2
61762,1
402270,0
447135,0
58160,1
363550,0
332357,0
153142,1
167631,0
558187,1
409450,1
488300,0
519067,0
123226,0
481678,1
428045,0
575074,2
24061,1
469652,1
231126,6
240520,1
366196,5
41074,1
243254,1
226504,1
25636,1
414521,1
571799,1
107302,1
339435,1
104772,1
319449,0
375659,1
43081,1
516812,0
500289,0
282931,2
66419,1
349566,1
172448,1
516846,0
366524,1
105087,1
302142,1
207598,0
280229,2
500443,0
559964,0
293917,1
278457,2
420290,0
404926,2
150674,0
216543,1
489708,0
404624,0
332747,1
126432,1
265786,1
401867,6
415250,2
135711,1
330785,0
565986,1
455444,0
9105,6
497243,1
146060,0
457270,0
91289,1
363082,0
3510,3
357523,1
550732,0
452259,1
394259,1
180078,1
401562,2
202710,4
514802,0
533402,1
390598,6
61046,1
391460,1
154938,1
201823,0
126838,1
504272,0
191874,0
308962,0
214506,1
252450,2
242620,1
61609,1
301332,2
116131,0
531191,0
476636,1
163588,1
272549,4
450733,1
426422,1
327780,0
61040,1
225087,1
444671,0
111068,1
442807,1
327728,0
115477,1
168180,1
452221,1
307547,1
524341,0
447053,0
77445,0
188045,1
184254,0
316283,0
92887,1
461518,0
448637,0
520493,1
234149,1
447375,0
58292,1
308531,1
221260,1
553095,1
369026,4
474930,0
69395,0
229408,1
253304,4
343893,1
328,0
246301,1
195346,0
222308,1
216031,0
289778,5
408372,5
446957,1
174197,1
109374,1
254961,2
462516,0
223806,5
276456,1
235421,5
167499,1
504824,0
448444,0
22466,1
375614,1
24886,1
174740,1
202159,1
64471,1
206237,0
46082,0
391744,0
479478,1
465309,1
172986,0
274747,4
483608,0
401245,0
134545,1
517208,0
124793,1
311539,1
188683,1
192628,0
401305,1
558118,1
549964,0
320388,0
468195,0
143830,1
258104,1
113558,1
364702,0
244053,5
28379,1
154723,1
515376,0
392320,1
274081,1
446246,0
94698,1
233427,1
561944,1
363967,0
376408,5
466817,0
3125,3
217488,0
297306,2
315821,0
496525,0
355310,1
152931,1
8787,5
191355,0
295598,0
194593,1
25497,1
367826,2
169653,1
529929,1
126992,1
84689,1
552673,1
335547,0
206919,0
183599,1
232839,1
400927,0
390459,0
407312,0
367465,1
446014,1
233209,1
134706,0
448255,0
337036,1
208129,0
190253,1
288105,5
114431,0
521779,0
472039,0
381256,0
523062,0
70012,1
541125,1
356148,5
17813,1
567119,1
63640,1
576548,5
171716,1
439131,1
302846,0
336308,1
96368,1
546741,1
302417,0
547036,1
480684,6
456937,1
59062,0
174091,0
235765,0
431418,0
392333,1
476205,1
493123,0
219561,2
472758,1
156863,1
387935,0
490881,0
441099,0
90125,1
542413,0
192784,0
486934,1
199864,1
365117,0
165635,1
551446,0
225255,1
473628,0
109196,1
384063,6
302134,1
428041,0
308065,1
241805,1
546855,0
112388,0
209143,0
269312,0
327052,0
400260,0
509830,0
178399,0
131100,1
562413,1
300504,5
262426,1
55720,0
277978,0
26639,1
161609,1
151873,1
520695,0
447534,0
510318,1
183904,1
153453,0
445396,0
482559,1
129089,1
443950,0
72484,1
351648,1
503459,1
579194,2
484067,0
56113,1
103609,4
2115,4
223418,1
126330,0
41969,1
108719,0
149320,1
72587,0
43952,0
362097,1
188768,0
184656,0
398031,1
48269,0
140623,1
505791,0
573279,1
286326,2
127451,1
256951,1
40394,1
58373,0
145818,1
22609,1
571588,2
153451,0
443867,0
528766,1
115120,0
465577,0
423808,0
210956,0
516950,0
238350,5
218587,1
494860,0
547866,1
22302,1
450930,6
90044,0
166607,0
91161,1
100085,1
107053,1
548251,0
292074,2
344314,0
377215,0
198128,0
253061,2
550158,0
154960,0
269867,1
336003,2
388738,6
77617,1
533692,0
291017,0
305067,1
349951,2
575242,5
534041,0
478061,1
146686,0
297961,1
247752,5
500558,1
196960,0
141322,1
481764,0
200400,1
